customer_id,name,archetype,signup_date,address_id,true_return_abuser
CUST0000,Priya Sharma,occasional_issue,2026-01-27,addr_014,0
CUST0001,Ananya Joshi,normal,2025-05-18,addr_034,0
CUST0002,Aditya Rao,normal,2026-05-17,addr_005,0
CUST0003,Rohan Iyer,normal,2026-05-19,addr_035,0
CUST0004,Rohan Joshi,normal,2025-08-26,addr_026,0
CUST0005,Kabir Singh,normal,2026-05-29,addr_010,0
CUST0006,Nikhil Khan,normal,2026-02-11,addr_021,0
CUST0007,Priya Verma,normal,2025-11-30,addr_022,0
CUST0008,Dev Reddy,occasional_issue,2025-05-24,addr_029,0
CUST0009,Aryan Verma,abuser,2025-11-20,addr_037,1
CUST0010,Aryan Reddy,occasional_issue,2025-07-20,addr_023,0
CUST0011,Zoya Iyer,occasional_issue,2026-05-09,addr_014,0
CUST0012,Sara Verma,occasional_issue,2026-04-11,addr_024,0
CUST0013,Ishaan Singh,normal,2025-11-27,addr_010,0
CUST0014,Arjun Khan,normal,2026-01-16,addr_004,0
CUST0015,Dev Mishra,normal,2025-05-24,addr_015,0
CUST0016,Diya Singh,normal,2025-07-09,addr_035,0
CUST0017,Kabir Mishra,normal,2025-05-04,addr_003,0
CUST0018,Kabir Das,normal,2025-12-22,addr_025,0
CUST0019,Ishaan Verma,normal,2025-08-15,addr_020,0
CUST0020,Rohan Mishra,normal,2025-07-07,addr_029,0
CUST0021,Ananya Reddy,normal,2025-05-16,addr_035,0
CUST0022,Aryan Reddy,occasional_issue,2025-10-25,addr_037,0
CUST0023,Kavya Khan,normal,2026-03-23,addr_032,0
CUST0024,Yash Verma,occasional_issue,2026-04-06,addr_009,0
CUST0025,Diya Kapoor,normal,2025-07-31,addr_004,0
CUST0026,Kavya Patel,normal,2025-10-05,addr_033,0
CUST0027,Ishaan Nair,occasional_issue,2026-05-27,addr_007,0
CUST0028,Aryan Kapoor,normal,2025-07-08,addr_021,0
CUST0029,Priya Reddy,normal,2025-10-12,addr_000,0
CUST0030,Ishaan Nair,occasional_issue,2025-09-15,addr_006,0
CUST0031,Sara Das,normal,2025-07-25,addr_012,0
CUST0032,Ananya Khan,occasional_issue,2025-08-29,addr_033,0
CUST0033,Aarav Rao,normal,2026-05-23,addr_007,0
CUST0034,Arjun Chatterjee,abuser,2025-12-26,addr_015,1
CUST0035,Vivaan Iyer,occasional_issue,2026-04-22,addr_005,0
CUST0036,Yash Das,normal,2025-05-08,addr_034,0
CUST0037,Ananya Gupta,normal,2025-08-24,addr_010,0
CUST0038,Ishaan Nair,occasional_issue,2025-10-28,addr_013,0
CUST0039,Aryan Kapoor,occasional_issue,2026-02-19,addr_019,0
CUST0040,Kavya Mishra,normal,2025-10-20,addr_033,0
CUST0041,Riya Verma,normal,2026-04-30,addr_021,0
CUST0042,Aarav Rao,normal,2025-08-04,addr_014,0
CUST0043,Aarav Verma,occasional_issue,2026-05-02,addr_014,0
CUST0044,Aditya Chatterjee,normal,2025-12-14,addr_004,0
CUST0045,Tanvi Iyer,normal,2025-09-26,addr_013,0
